Data operação;Categoria;Código Ativo;Operação C/V;Quantidade;Preço unitário;Corretora;Corretagem;Taxas;Impostos;IRRF
16/01/2023;Fundos imobiliários;XPLG11;C;9;93,51;MODAL DTVM LTDA;0;0;0;0
28/11/2022;Fundos imobiliários;XPML11;C;6;98,83;MODAL DTVM LTDA;0;0;0;0
28/11/2022;Fundos imobiliários;KISU11;C;9;8,04;MODAL DTVM LTDA;0;0;0;0
25/11/2022;Fundos imobiliários;XPLG11;V;43;99,09;MODAL DTVM LTDA;0;0;0;0
25/11/2022;Fundos imobiliários;SDIL11;C;79;91,25;MODAL DTVM LTDA;0;0;0;0
25/11/2022;Fundos imobiliários;BTLG11;V;57;98,79;MODAL DTVM LTDA;0;0;0;0
25/11/2022;Fundos imobiliários;KNSC11;C;16;85,5;MODAL DTVM LTDA;0;0;0;0
25/11/2022;Fundos imobiliários;RBRR11;C;16;87,59;MODAL DTVM LTDA;0;0;0;0
21/11/2022;Fundos imobiliários;KNSC11;C;25;85,46;MODAL DTVM LTDA;0;0;0;0
21/11/2022;Fundos imobiliários;CVBI11;C;10;89,24;MODAL DTVM LTDA;0;0;0;0
21/11/2022;Fundos imobiliários;RECR11;C;10;86,35;MODAL DTVM LTDA;0;0;0;0
18/11/2022;Ações;AERI3;V;500;1,49;MODAL DTVM LTDA;0;0;0;0
18/11/2022;Ações;SAPR3;V;300;3,2;MODAL DTVM LTDA;0;0;0;0
18/11/2022;Ações;OIBR3;V;3.000,00;0,18;MODAL DTVM LTDA;0;0;0;0
16/11/2022;Fundos imobiliários;VGIP11;V;12;86,64;MODAL DTVM LTDA;0;0;0;0
11/11/2022;Fundos imobiliários;URPR11;C;10;99,89;MODAL DTVM LTDA;0;0;0;0
10/11/2022;Ações;CSAN3;V;100;17,45;MODAL DTVM LTDA;0;0;0;0
10/11/2022;ETF;HASH11;C;110;15,6;MODAL DTVM LTDA;0;0;0;0
08/11/2022;Fundos imobiliários;RBRR11;C;29;90,45;MODAL DTVM LTDA;0;0;0;0
08/11/2022;Fundos imobiliários;VRTA11;V;23;95,73;MODAL DTVM LTDA;0;0;0;0
04/11/2022;Fundos imobiliários;RBRR11;C;20;89,29;MODAL DTVM LTDA;0;0;0;0
04/11/2022;Fundos imobiliários;CVBI11;C;10;91;MODAL DTVM LTDA;0;0;0;0
04/11/2022;Fundos imobiliários;RECR11;C;10;90,54;MODAL DTVM LTDA;0;0;0;0
04/11/2022;Fundos imobiliários;URPR11;C;10;101,15;MODAL DTVM LTDA;0;0;0;0
25/10/2022;Fundos imobiliários;GALG11;V;200;9,64;MODAL DTVM LTDA;0;0;0;0
25/10/2022;Fundos imobiliários;HGLG11;C;12;165,06;MODAL DTVM LTDA;0;0;0;0
25/10/2022;Fundos imobiliários;KISU11;C;6;8,88;MODAL DTVM LTDA;0;0;0;0
18/10/2022;Ações;OIBR3;C;3.000,00;0,36;MODAL DTVM LTDA;0;0;0;0
18/10/2022;Ações;AERI3;C;500;2,01;MODAL DTVM LTDA;0;0;0;0
18/10/2022;Ações;SAPR3;C;300;3,36;MODAL DTVM LTDA;0;0;0;0
17/10/2022;Fundos imobiliários;KISU11;C;6;8,64;MODAL DTVM LTDA;0;0;0;0
17/10/2022;Fundos imobiliários;RECR11;C;7;88,21;MODAL DTVM LTDA;0;0;0;0
17/10/2022;Fundos imobiliários;CVBI11;C;7;89,06;MODAL DTVM LTDA;0;0;0;0
13/10/2022;Fundos imobiliários;HGLG11;C;4;168,24;MODAL DTVM LTDA;0;0;0;0
13/10/2022;Fundos imobiliários;HGLG11;C;6;168,22;MODAL DTVM LTDA;0;0;0;0
13/10/2022;Fundos imobiliários;URPR11;C;10;102,02;MODAL DTVM LTDA;0;0;0;0
13/10/2022;Fundos imobiliários;VGIP11;C;12;89,73;MODAL DTVM LTDA;0;0;0;0
13/10/2022;Fundos imobiliários;KNSC11;C;12;85,46;MODAL DTVM LTDA;0;0;0;0
11/10/2022;ETF;IVVB11;V;83;204,58;MODAL DTVM LTDA;0;0;0;0
10/10/2022;Fundos imobiliários;RECR11;C;10;89,1;MODAL DTVM LTDA;0;0;0;0
10/10/2022;ETF Exterior;VOO;V;1,10960569;329,62;PASSFOLIO;0;0;0;0
06/10/2022;ETF Exterior;VOO;C;1,10960569;345,42;PASSFOLIO;0;0;0;0
05/10/2022;ETF Exterior;VOO;V;1,10587341;346,41;PASSFOLIO;0;0;0;0
04/10/2022;ETF Exterior;VOO;C;1,10587341;342,39;PASSFOLIO;0;0;0;0
04/10/2022;Fundos imobiliários;VRTA11;C;23;91,5;MODAL DTVM LTDA;0;0;0;0
30/09/2022;Fundos imobiliários;URPR11;C;10;103,08;MODAL DTVM LTDA;0;0;0;0
20/09/2022;Fundos imobiliários;MXRF11;V;26;10,29;MODAL DTVM LTDA;0;0;0;0
16/09/2022;Fundos imobiliários;KISU11;C;17;8,35;MODAL DTVM LTDA;0;0;0;0
15/09/2022;Fundos imobiliários;URPR11;C;5;103,19;MODAL DTVM LTDA;0;0;0;0
15/09/2022;Fundos imobiliários;HSML11;C;5;89,8;MODAL DTVM LTDA;0;0;0;0
09/09/2022;Fundos imobiliários;RECR11;C;5;91,83;MODAL DTVM LTDA;0;0;0;0
09/09/2022;Fundos imobiliários;CVBI11;C;3;91,77;MODAL DTVM LTDA;0;0;0;0
09/09/2022;Fundos imobiliários;KNSC11;C;3;85,65;MODAL DTVM LTDA;0;0;0;0
08/09/2022;Fundos imobiliários;URPR11;C;15;102,91;MODAL DTVM LTDA;0;0;0;0
08/09/2022;Fundos imobiliários;URPR11;C;15;102,99;MODAL DTVM LTDA;0;0;0;0
08/09/2022;Fundos imobiliários;GALG11;C;100;9,7;MODAL DTVM LTDA;0;0;0;0
08/09/2022;Fundos imobiliários;GALG11;C;100;9,75;MODAL DTVM LTDA;0;0;0;0
06/09/2022;Fundos imobiliários;CVBI11;C;10;92,35;MODAL DTVM LTDA;0;0;0;0
06/09/2022;ETF;IVVB11;C;5;225,8;MODAL DTVM LTDA;0;0;0;0
29/08/2022;Fundos imobiliários;CVBI11;C;10;92,9;MODAL DTVM LTDA;0;0;0;0
29/08/2022;ETF;IVVB11;C;5;222,78;MODAL DTVM LTDA;0;0;0;0
29/08/2022;Fundos imobiliários;BTLG11;C;10;102,18;MODAL DTVM LTDA;0;0;0;0
29/08/2022;ETF;HASH11;C;25;18,55;MODAL DTVM LTDA;0;0;0;0
29/08/2022;Fundos imobiliários;KNSC11;C;20;86,26;MODAL DTVM LTDA;0;0;0;0
29/08/2022;Ações;ITSA4;V;947;9,33;MODAL DTVM LTDA;0;0;0;0
17/08/2022;Fundos imobiliários;MXRF11;C;26;9,97;MODAL DTVM LTDA;0;0;0;0
15/08/2022;Fundos imobiliários;ALZR11;C;1;117,37;MODAL DTVM LTDA;0;0;0;0
11/08/2022;Fundos imobiliários;CVBI11;C;6;90,83;MODAL DTVM LTDA;0;0;0;0
11/08/2022;Fundos imobiliários;CVBI11;C;18;91,5;MODAL DTVM LTDA;0;0;0;0
11/08/2022;Fundos imobiliários;HSML11;C;5;81,99;MODAL DTVM LTDA;0;0;0;0
11/08/2022;Fundos imobiliários;RECR11;C;1;90,9;MODAL DTVM LTDA;0;0;0;0
11/08/2022;Fundos imobiliários;RECR11;C;1;90,87;MODAL DTVM LTDA;0;0;0;0
11/08/2022;Fundos imobiliários;RECR11;C;3;90,83;MODAL DTVM LTDA;0;0;0;0
11/08/2022;Ações;PSSA3;V;88;21,51;MODAL DTVM LTDA;0;0;0;0
11/08/2022;Ações;TAEE11;V;33;43,1;MODAL DTVM LTDA;0;0;0;0
09/08/2022;Fundos imobiliários;BTLG11;C;14;100,57;MODAL DTVM LTDA;0;0;0;0
09/08/2022;Fundos imobiliários;ALZR11;C;15;114,86;MODAL DTVM LTDA;0;0;0;0
09/08/2022;Fundos imobiliários;HSML11;C;10;79,3;MODAL DTVM LTDA;0;0;0;0
09/08/2022;Fundos imobiliários;KISU11;C;10;7,77;MODAL DTVM LTDA;0;0;0;0
09/08/2022;Fundos imobiliários;KNRI11;C;15;140,54;MODAL DTVM LTDA;0;0;0;0
09/08/2022;Fundos imobiliários;VISC11;C;10;103,96;MODAL DTVM LTDA;0;0;0;0
08/08/2022;ETF;IVVB11;C;11;233,6;MODAL DTVM LTDA;0;0;0;0
08/08/2022;ETF;IVVB11;C;30;232,31;MODAL DTVM LTDA;0;0;0;0
08/08/2022;Ações;PSSA3;V;200;21,07;MODAL DTVM LTDA;0;0;0;0
08/08/2022;Ações;TAEE11;V;100;42,91;MODAL DTVM LTDA;0;0;0;0
08/08/2022;ETF Exterior;VOO;V;0,49649;381,31;AVENUE;0;0;0;0
08/08/2022;Ações;CSAN3;V;100;19,72;MODAL DTVM LTDA;0;0;0;0
08/08/2022;Ações;CSAN3;V;29;19,74;MODAL DTVM LTDA;0;0;0;0
08/08/2022;ETF;SMAL11;V;30;105,51;MODAL DTVM LTDA;0;0;0;0
08/08/2022;Ações;BBAS3;V;63;38,78;MODAL DTVM LTDA;0;0;0;0
02/08/2022;ETF Exterior;VOO;C;0,49649;375,55;AVENUE;0;0;0;0
01/08/2022;ETF;IVVB11;V;5;234;MODAL DTVM LTDA;0;0;0;0
01/08/2022;Fundos imobiliários;HSML11;C;10;78,42;MODAL DTVM LTDA;0;0;0;0
01/08/2022;Ações;KLBN4;V;550;3,92;MODAL DTVM LTDA;0;0;0;0
26/07/2022;Fundos imobiliários;CVBI11;C;20;96,7;MODAL DTVM LTDA;0;0;0;0
26/07/2022;Fundos imobiliários;BTLG11;C;10;98,72;MODAL DTVM LTDA;0;0;0;0
26/07/2022;Ações;ITSA4;C;30;8,55;MODAL DTVM LTDA;0;0;0;0
26/07/2022;Fundos imobiliários;ALZR11;C;5;113,05;MODAL DTVM LTDA;0;0;0;0
26/07/2022;Fundos imobiliários;ALZR11;C;25;113;MODAL DTVM LTDA;0;0;0;0
26/07/2022;Fundos imobiliários;HSML11;C;5;77,92;MODAL DTVM LTDA;0;0;0;0
26/07/2022;Fundos imobiliários;HSML11;C;5;77,96;MODAL DTVM LTDA;0;0;0;0
26/07/2022;Fundos imobiliários;KISU11;C;4;7,93;MODAL DTVM LTDA;0;0;0;0
26/07/2022;Fundos imobiliários;KNRI11;C;5;134,52;MODAL DTVM LTDA;0;0;0;0
26/07/2022;Fundos imobiliários;KNRI11;C;25;134,5;MODAL DTVM LTDA;0;0;0;0
26/07/2022;Fundos imobiliários;URPR11;V;77;108,7;MODAL DTVM LTDA;0;0;0;0
19/07/2022;Fundos imobiliários;HSML11;C;1;77,16;MODAL DTVM LTDA;0;0;0;0
18/07/2022;Fundos imobiliários;HSML11;C;7;77,34;MODAL DTVM LTDA;0;0;0;0
18/07/2022;Fundos imobiliários;VISC11;C;4;100,09;MODAL DTVM LTDA;0;0;0;0
13/07/2022;ETF;IVVB11;C;16;223,95;MODAL DTVM LTDA;0;0;0;0
12/07/2022;Ações;BBSE3;V;145;25,3;MODAL DTVM LTDA;0;0;0;0
05/07/2022;Ações;ITSA4;C;20;8,22;MODAL DTVM LTDA;0;0;0;0
05/07/2022;Ações;PSSA3;C;8;18,06;MODAL DTVM LTDA;0;0;0;0
05/07/2022;Ações;CSAN3;C;9;17,18;MODAL DTVM LTDA;0;0;0;0
05/07/2022;Fundos imobiliários;URPR11;C;57;102,5;MODAL DTVM LTDA;0;0;0;0
29/06/2022;ETF;IVVB11;C;1;217,16;MODAL DTVM LTDA;0;0;0;0
29/06/2022;ETF;HASH11;C;15;17,35;MODAL DTVM LTDA;0;0;0;0
24/06/2022;Ações;TAEE11;C;100;39,1;MODAL DTVM LTDA;0;0;0;0
24/06/2022;Ações;TAEE11;C;33;39,11;MODAL DTVM LTDA;0;0;0;0
24/06/2022;Ações;TAEE4;V;400;13,06;MODAL DTVM LTDA;0;0;0;0
17/06/2022;ETF;HASH11;C;20;17,43;MODAL DTVM LTDA;0;0;0;0
17/06/2022;Ações;ITSA4;C;40;8,62;MODAL DTVM LTDA;0;0;0;0
17/06/2022;Ações;PSSA3;C;15;18,27;MODAL DTVM LTDA;0;0;0;0
17/06/2022;Ações;CSAN3;C;20;18,47;MODAL DTVM LTDA;0;0;0;0
17/06/2022;Ações;KLBN4;C;50;4;MODAL DTVM LTDA;0;0;0;0
