Entrada/Saída;Data;Movimentação;Produto;Instituição;Quantidade;Preço unitário;Valor da Operação
Credito;30/12/2021;Juros Sobre Capital Próprio;BBAS3 - BANCO DO BRASIL S/A;NU INVEST CORRETORA DE VALORES S.A.;63; R$0,17 ; R$9,37 
Credito;29/12/2021;Juros Sobre Capital Próprio;TAEE4 - TRANSMISSORA ALIANCA DE ENERGIA ELETRICA S/A;NU INVEST CORRETORA DE VALORES S.A.;220; R$0,20 ; R$36,55 
Credito;29/12/2021;Dividendo;TAEE4 - TRANSMISSORA ALIANCA DE ENERGIA ELETRICA S/A;NU INVEST CORRETORA DE VALORES S.A.;220; R$0,31 ; R$68,32 
Credito;28/12/2021;Dividendo;CSAN3 - COSAN S.A.;NU INVEST CORRETORA DE VALORES S.A.;109; R$0,37 ; R$40,83 
Debito;23/12/2021;Transferência - Liquidação;ENBR3 - EDP ENERGIAS DO BRASIL S.A.;NU INVEST CORRETORA DE VALORES S.A.;80; R$20,68 ; R$1.654,40 
Debito;23/12/2021;Transferência - Liquidação;KLBN11 - KLABIN S/A;NU INVEST CORRETORA DE VALORES S.A.;20; R$25,78 ; R$515,60 
Debito;23/12/2021;Transferência - Liquidação;SAPR11 - CIA DE SANEAMENTO DO PARANA - SANEPAR;NU INVEST CORRETORA DE VALORES S.A.;151; R$18,87 ; R$2.849,37 
Credito;23/12/2021;Rendimento;XPML11 - XP MALLS FDO INV IMOB FII;NU INVEST CORRETORA DE VALORES S.A.;57; R$0,55 ; R$31,35 
Credito;22/12/2021;Bonificação em Ativos;ITSA4 - ITAUSA S/A;NU INVEST CORRETORA DE VALORES S.A.;15; - ; - 
Credito;22/12/2021;Transferência - Liquidação;ITSA4 - ITAUSA S/A;NU INVEST CORRETORA DE VALORES S.A.;32; R$9,50 ; R$304,00 
Credito;22/12/2021;Transferência - Liquidação;KLBN11 - KLABIN S/A;NU INVEST CORRETORA DE VALORES S.A.;20; R$25,85 ; R$517,00 
Credito;22/12/2021;Transferência - Liquidação;MGLU3 - MAGAZINE LUIZA S/A;NU INVEST CORRETORA DE VALORES S.A.;5; R$6,54 ; R$32,70 
Debito;21/12/2021;Transferência - Liquidação;ABEV3 - AMBEV S/A;NU INVEST CORRETORA DE VALORES S.A.;31; R$16,17 ; R$501,27 
Credito;21/12/2021;Transferência - Liquidação;HASH11 - HASHDEX NASDAQ CRYPTO INDEX FUNDO DE ÍNDICE;NU INVEST CORRETORA DE VALORES S.A.;5; R$50,91 ; R$254,55 
Credito;21/12/2021;Transferência - Liquidação;ITSA4 - ITAUSA S/A;NU INVEST CORRETORA DE VALORES S.A.;50; R$9,57 ; R$478,50 
Debito;21/12/2021;Transferência - Liquidação;KLBN11 - KLABIN S/A;NU INVEST CORRETORA DE VALORES S.A.;73; R$26,48 ; R$1.933,04 
Credito;21/12/2021;Transferência - Liquidação;PSSA3 - PORTO SEGURO S/A;NU INVEST CORRETORA DE VALORES S.A.;15; R$21,10 ; R$316,50 
Credito;21/12/2021;Transferência - Liquidação;VILG11 - FII VINCI LG;NU INVEST CORRETORA DE VALORES S.A.;5; R$95,91 ; R$479,57 
Credito;21/12/2021;Transferência - Liquidação;VINO11 - VINCI OFFICES FUNDO DE INVESTIMENTO IMOBILIARIO;NU INVEST CORRETORA DE VALORES S.A.;10; R$54,81 ; R$548,10 
Credito;14/12/2021;Transferência - Liquidação;ABEV3 - AMBEV S/A;NU INVEST CORRETORA DE VALORES S.A.;31; R$16,02 ; R$496,62 
Credito;14/12/2021;Transferência - Liquidação;BBAS3 - BANCO DO BRASIL S/A;NU INVEST CORRETORA DE VALORES S.A.;63; R$32,54 ; R$2.050,02 
Debito;14/12/2021;Transferência - Liquidação;BBDC3 - BANCO BRADESCO S/A;NU INVEST CORRETORA DE VALORES S.A.;180; R$17,16 ; R$3.088,80 
Credito;14/12/2021;Transferência - Liquidação;BPAC11 - BANCO BTG PACTUAL S/A;NU INVEST CORRETORA DE VALORES S.A.;45; R$22,87 ; R$1.029,15 
Credito;14/12/2021;Rendimento;KISU11 - KILIMA FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS IMOBILIÁRIOS;NU INVEST CORRETORA DE VALORES S.A.;1014; R$0,06 ; R$60,84 
Credito;14/12/2021;Transferência - Liquidação;KLBN11 - KLABIN S/A;NU INVEST CORRETORA DE VALORES S.A.;73; R$25,62 ; R$1.870,41 
Debito;14/12/2021;Transferência - Liquidação;KLBN4 - KLABIN S/A;NU INVEST CORRETORA DE VALORES S.A.;390; R$4,81 ; R$1.878,90 
Credito;14/12/2021;Rendimento;RECR11 - FDO INV IMOB - FII UBS (BR) RECEB IMOB;NU INVEST CORRETORA DE VALORES S.A.;97; R$1,18 ; R$114,57 
Credito;14/12/2021;Transferência - Liquidação;SAPR11 - CIA DE SANEAMENTO DO PARANA - SANEPAR;NU INVEST CORRETORA DE VALORES S.A.;151; R$19,50 ; R$2.944,50 
Debito;14/12/2021;Transferência - Liquidação;SAPR4 - CIA DE SANEAMENTO DO PARANA - SANEPAR;NU INVEST CORRETORA DE VALORES S.A.;750; R$3,92 ; R$2.940,00 
Credito;14/12/2021;Rendimento;VILG11 - FII VINCI LG;NU INVEST CORRETORA DE VALORES S.A.;2; R$0,64 ; R$1,28 
Credito;14/12/2021;Rendimento;VINO11 - VINCI OFFICES FUNDO DE INVESTIMENTO IMOBILIARIO;NU INVEST CORRETORA DE VALORES S.A.;47; R$0,55 ; R$25,85 
Credito;14/12/2021;Rendimento;VISC11 - VINCI SHOPPING CENTERS FI IMOBILIÁRIO - FII;NU INVEST CORRETORA DE VALORES S.A.;50; R$0,61 ; R$30,50 
Credito;14/12/2021;Rendimento;XPLG11 - XP LOG FUNDO DE INVESTIMENTO IMOBILIARIO FII;NU INVEST CORRETORA DE VALORES S.A.;115; R$0,64 ; R$73,60 
Credito;10/12/2021;Transferência - Liquidação;TAEE11 - TRANSMISSORA ALIANCA DE ENERGIA ELETRICA S/A;NU INVEST CORRETORA DE VALORES S.A.;73; R$35,95 ; R$2.624,35 
Debito;10/12/2021;Transferência - Liquidação;TAEE4 - TRANSMISSORA ALIANCA DE ENERGIA ELETRICA S/A;NU INVEST CORRETORA DE VALORES S.A.;220; R$11,94 ; R$2.626,80 
Debito;06/12/2021;Transferência - Liquidação;BCFF11 - FDO INV IMOB - FII BTG PACTUAL FUNDO DE FUNDOS;NU INVEST CORRETORA DE VALORES S.A.;1; R$65,02 ; R$65,02 
Credito;06/12/2021;Transferência - Liquidação;KISU11 - KILIMA FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS IMOBILIÁRIOS;NU INVEST CORRETORA DE VALORES S.A.;9; R$7,63 ; R$68,67 
Credito;01/12/2021;Juros Sobre Capital Próprio;BBDC3 - BANCO BRADESCO S/A;NU INVEST CORRETORA DE VALORES S.A.;180; R$0,02 ; R$2,64 
Credito;29/11/2021;Transferência - Liquidação;ITSA4 - ITAUSA S/A;NU INVEST CORRETORA DE VALORES S.A.;4; R$10,00 ; R$40,00 
Credito;25/11/2021;Rendimento;XPML11 - XP MALLS FDO INV IMOB FII;NU INVEST CORRETORA DE VALORES S.A.;48; R$0,50 ; R$24,00 
Credito;25/11/2021;Rendimento;XPML13 - XP MALLS FDO INV IMOB FII;NU INVEST CORRETORA DE VALORES S.A.;9; R$0,94 ; R$8,45 
Credito;24/11/2021;Atualização;XPML11 - XP MALLS FDO INV IMOB FII;NU INVEST CORRETORA DE VALORES S.A.;9; - ; - 
Credito;22/11/2021;Transferência - Liquidação;BCFF11 - FDO INV IMOB - FII BTG PACTUAL FUNDO DE FUNDOS;NU INVEST CORRETORA DE VALORES S.A.;1; R$64,05 ; R$64,05 
Credito;22/11/2021;Transferência - Liquidação;CSAN3 - COSAN S.A.;NU INVEST CORRETORA DE VALORES S.A.;5; R$21,23 ; R$106,15 
Credito;22/11/2021;Transferência - Liquidação;ITSA4 - ITAUSA S/A;NU INVEST CORRETORA DE VALORES S.A.;46; R$9,87 ; R$454,18 
Credito;22/11/2021;Transferência - Liquidação;KLBN4 - KLABIN S/A;NU INVEST CORRETORA DE VALORES S.A.;10; R$4,29 ; R$42,90 
Credito;22/11/2021;Transferência - Liquidação;MGLU3 - MAGAZINE LUIZA S/A;NU INVEST CORRETORA DE VALORES S.A.;20; R$9,25 ; R$185,00 
Credito;22/11/2021;Transferência - Liquidação;SAPR4 - CIA DE SANEAMENTO DO PARANA - SANEPAR;NU INVEST CORRETORA DE VALORES S.A.;50; R$3,78 ; R$189,00 
Credito;19/11/2021;Dividendo;CSMG3 - COMPANHIA DE SANEAMENTO DE MINAS GERAIS COPASA MG;NU INVEST CORRETORA DE VALORES S.A.;25; R$0,15 ; R$3,78 
Credito;19/11/2021;Juros Sobre Capital Próprio;CSMG3 - COMPANHIA DE SANEAMENTO DE MINAS GERAIS COPASA MG;NU INVEST CORRETORA DE VALORES S.A.;25; R$0,28 ; R$5,90 
Credito;18/11/2021;Transferência - Liquidação;VILG11 - FII VINCI LG;NU INVEST CORRETORA DE VALORES S.A.;2; R$92,03 ; R$184,06 
